City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,277.76,97,100,9.78,TF,1698534495
1,waitangi,-43.9535,-176.5597,285.83,77,27,3.13,NZ,1698534497
2,bilibino,68.0546,166.4372,252.26,96,25,1.08,RU,1698534499
3,puerto natales,-51.7236,-72.4875,276.37,87,100,2.67,CL,1698534502
4,atafu village,-8.5421,-172.5159,301.72,73,24,4.12,TK,1698534504
5,palmer,42.1584,-72.3287,294.38,49,0,4.63,US,1698534506
6,tommot,58.9564,126.2925,270.46,95,100,3.85,RU,1698534508
7,iqaluit,63.7506,-68.5145,258.54,77,14,4.47,CA,1698534510
8,flagstaff,35.1981,-111.6513,289.0,51,75,5.14,US,1698534354
9,amungan,15.3652,119.9582,299.6,79,57,2.55,PH,1698534519
10,rio san juan,19.6439,-70.0763,299.52,81,13,2.14,DO,1698534521
11,jamestown,42.097,-79.2353,283.96,77,40,1.54,US,1698534503
12,manzhouli,49.6,117.4333,272.77,57,65,9.34,CN,1698534525
13,dobroslav,46.8194,30.9432,286.25,56,37,0.9,UA,1698534527
14,bredasdorp,-34.5322,20.0403,286.07,51,89,5.93,ZA,1698534529
15,bardai,11.65,7.2333,296.65,26,0,2.25,NG,1698534531
16,aripuana,-9.1667,-60.6333,301.58,61,94,1.29,BR,1698534421
17,anadyr,64.75,177.4833,275.43,100,100,4.0,RU,1698534246
18,tromso,69.6496,18.957,268.16,86,79,1.54,NO,1698534538
19,blackmans bay,-43.0167,147.3167,287.44,58,97,1.79,AU,1698534540
20,margaret river,-33.95,115.0667,288.42,83,100,4.34,AU,1698534542
21,marka,1.7159,44.7717,299.27,85,99,3.7,SO,1698534544
22,mili,6.0815,171.735,301.77,74,73,6.59,MH,1698534546
23,talnakh,69.4865,88.3972,258.82,96,45,0.98,RU,1698534548
24,recreo,-29.2818,-65.061,302.62,41,0,6.63,AR,1698534551
25,ciutadella,40.0011,3.8414,292.6,67,1,7.86,ES,1698534553
26,st. john's,47.5649,-52.7093,285.91,92,99,2.68,CA,1698534555
27,edinburgh of the seven seas,-37.0676,-12.3116,286.08,87,65,11.86,SH,1698534557
28,yuzhno-kurilsk,44.0306,145.8556,284.47,87,86,2.35,RU,1698534559
29,albany,42.6001,-73.9662,288.28,60,27,4.34,US,1698534001
30,yellowknife,62.456,-114.3525,273.46,82,75,7.2,CA,1698534180
31,sitka,57.0531,-135.33,282.09,61,100,2.06,US,1698534568
32,utrik,11.2278,169.8474,301.54,75,80,8.15,MH,1698534570
33,boise,43.6135,-116.2035,281.19,38,0,5.66,US,1698534572
34,kapa'a,22.0752,-159.319,302.14,66,0,5.14,US,1698534577
35,adamstown,-25.066,-130.1015,296.04,81,100,6.95,PN,1698534579
36,rikaze,29.25,88.8833,274.81,43,18,1.5,CN,1698534299
37,carnarvon,-24.8667,113.6333,292.91,64,1,11.03,AU,1698534583
38,ushuaia,-54.8,-68.3,274.8,93,93,2.17,AR,1698534585
39,qaqortoq,60.7167,-46.0333,273.46,83,58,0.76,GL,1698534587
40,crane,31.3974,-102.3501,298.74,52,18,9.72,US,1698534589
41,kindu,-2.95,25.95,294.08,92,24,0.31,CD,1698534592
42,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,0,4.0,RU,1698534594
43,berezovyy,51.6667,135.7,272.92,57,95,0.38,RU,1698534596
44,la maddalena,41.2142,9.4083,289.24,78,0,3.9,IT,1698534598
45,gorontalo,0.5412,123.0595,298.85,66,99,0.78,ID,1698534600
46,olonkinbyen,70.9221,-8.7187,272.62,71,99,2.6,SJ,1698534603
47,cananeia,-25.0147,-47.9267,295.37,98,100,1.63,BR,1698534605
48,papatowai,-46.5619,169.4708,285.73,56,56,1.85,NZ,1698534607
49,shingu,33.7333,135.9833,287.32,65,0,3.33,JP,1698534609
50,tolanaro,-25.0319,46.9987,295.6,93,13,4.91,MG,1698534612
51,santa rosalia,27.3167,-112.2833,300.97,35,0,0.44,MX,1698534614
52,ierapetra,35.01,25.7353,296.01,71,0,0.89,GR,1698534616
53,kerikeri,-35.2268,173.9474,285.88,92,100,2.68,NZ,1698534619
54,aasiaat,68.7098,-52.8699,262.56,94,80,3.55,GL,1698534622
55,teruel,40.6667,-0.6667,282.04,77,90,8.1,ES,1698534624
56,puerto ayora,-0.7393,-90.3518,300.13,89,72,4.47,EC,1698534627
57,san borja,-14.8167,-66.85,305.1,48,87,2.59,BO,1698534632
58,punta arenas,-53.15,-70.9167,278.21,65,99,6.16,CL,1698534635
59,rengasdengklok,-6.1592,107.2981,298.22,67,12,2.55,ID,1698534638
60,wailua homesteads,22.0669,-159.378,301.39,66,0,5.14,US,1698534640
61,miringa,10.7312,12.1463,298.4,24,7,2.16,NG,1698534642
62,bethel,41.3712,-73.414,297.2,53,100,2.57,US,1698534504
63,bikenibeu village,1.3673,173.1241,304.13,74,20,3.09,KI,1698534647
64,balabac,7.9868,117.0645,301.06,78,34,3.68,PH,1698534649
65,celestun,20.8667,-90.4,301.47,67,11,9.05,MX,1698534651
66,port mathurin,-19.6833,63.4167,297.36,79,12,3.83,MU,1698534654
67,la sarre,48.8002,-79.1996,270.81,76,89,2.66,CA,1698534656
68,sikandarpur,26.05,84.05,294.11,54,67,0.39,IN,1698534658
69,bubaque,11.2833,-15.8333,300.8,77,7,4.11,GW,1698534660
70,grytviken,-54.2811,-36.5092,275.47,94,93,4.71,GS,1698534663
71,college,64.8569,-147.8028,271.43,84,75,0.45,US,1698534665
72,georgetown,5.4112,100.3354,299.79,94,20,1.54,MY,1698534412
73,byron bay,-28.65,153.6167,291.32,63,93,1.8,AU,1698534599
74,iskateley,67.6803,53.1512,260.94,90,100,3.58,RU,1698534671
75,hengchun,22.0042,120.7439,297.48,81,24,6.71,TW,1698534673
76,lihue,21.9789,-159.3672,301.73,66,0,5.14,US,1698534675
77,la passe,45.5549,-0.8967,288.28,87,100,8.8,FR,1698534678
78,fale old settlement,-9.3852,-171.2468,301.92,73,32,4.56,TK,1698534680
79,vorgashor,67.5833,63.95,256.25,100,98,1.13,RU,1698534682
80,sisimiut,66.9395,-53.6735,268.21,78,97,5.31,GL,1698534684
81,berbera,10.4396,45.0143,301.2,70,82,4.58,SO,1698534686
82,keflavik,64.0049,-22.5624,277.39,65,0,2.06,IS,1698534688
83,puerto baquerizo moreno,-0.9,-89.6,296.48,76,93,5.55,EC,1698534691
84,dudinka,69.4058,86.1778,259.05,92,72,5.81,RU,1698534693
85,vila do maio,15.1333,-23.2167,299.59,77,46,6.25,CV,1698534695
86,daru,-9.0763,143.2092,298.02,94,100,6.18,PG,1698534697
87,kartaly,53.0522,60.6467,272.05,97,100,4.02,RU,1698534699
88,coroata,-4.13,-44.1242,302.29,63,39,4.19,BR,1698534481
89,uchaly,54.2996,59.4521,269.86,98,100,2.07,RU,1698534704
90,cannonvale,-20.2833,148.7,297.81,58,71,7.92,AU,1698534706
